"ComputerName","Path","Status"
"pc14453","\\pc14453\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC9244","\\PC9244\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC8749","\\PC8749\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC8883","\\PC8883\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC8531","\\PC8531\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"PC11155","\\PC11155\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11193","\\pc11193\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6884","\\pc6884\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc14515","\\pc14515\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc13093","\\pc13093\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5982","\\pc5982\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15061","\\pc15061\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8593","\\pc8593\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9277","\\pc9277\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15096","\\pc15096\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9267","\\pc9267\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8880","\\pc8880\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12537","\\pc12537\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11148","\\pc11148\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8494","\\pc8494\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7518","\\pc7518\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6210","\\pc6210\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8712","\\pc8712\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9210","\\pc9210\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.2105.4017.0_x64__8wekyb3d8bbwe","Not Found"
"pc8802","\\pc8802\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7510","\\pc7510\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11213","\\pc11213\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7514","\\pc7514\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9282","\\pc9282\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8860","\\pc8860\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8710","\\pc8710\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc14523","\\pc14523\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc13083","\\pc13083\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9286","\\pc9286\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Offline"
"pc8510","\\pc8510\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9852","\\pc9852\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9067","\\pc9067\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8723","\\pc8723\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5669","\\pc5669\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8605","\\pc8605\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7530","\\pc7530\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6474","\\pc6474\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc4552","\\pc4552\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6461","\\pc6461\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7542","\\pc7542\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8452","\\pc8452\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9118","\\pc9118\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12014","\\pc12014\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc10601","\\pc10601\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6055","\\pc6055\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc10632","\\pc10632\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6541","\\pc6541\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7501","\\pc7501\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6870","\\pc6870\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8882","\\pc8882\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6162","\\pc6162\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12531","\\pc12531\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc10631","\\pc10631\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15121","\\pc15121\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15094","\\pc15094\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8322","\\pc8322\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7502","\\pc7502\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11199","\\pc11199\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8542","\\pc8542\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6020","\\pc6020\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8359","\\pc8359\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11138","\\pc11138\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15181","\\pc15181\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5900","\\pc5900\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc10630","\\pc10630\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8737","\\pc8737\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8865","\\pc8865\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6438","\\pc6438\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6888","\\pc6888\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11172","\\pc11172\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12004","\\pc12004\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8736","\\pc8736\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7664","\\pc7664\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8568","\\pc8568\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9040","\\pc9040\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12013","\\pc12013\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8497","\\pc8497\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7640","\\pc7640\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8856","\\pc8856\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc10621","\\pc10621\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7526","\\pc7526\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7536","\\pc7536\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6864","\\pc6864\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11169","\\pc11169\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc15057","\\pc15057\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8864","\\pc8864\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7599","\\pc7599\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12500l","\\pc12500l\c$\Program Files\WindowsApps\Microsoft.MSPaint_1.0.79.0_x64__8wekyb3d8bbwe","Not Found"
"pc7609","\\pc7609\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7628","\\pc7628\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8348","\\pc8348\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc10577","\\pc10577\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc12501l","\\pc12501l\c$\Program Files\WindowsApps\Microsoft.MSPaint_1.0.79.0_x64__8wekyb3d8bbwe","Not Found"
"pc9138","\\pc9138\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9855","\\pc9855\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11182","\\pc11182\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8989","\\pc8989\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc14420","\\pc14420\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8558","\\pc8558\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc8717","\\pc8717\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7752","\\pc7752\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc6118","\\pc6118\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.18017.0_x64__8wekyb3d8bbwe","Not Found"
"pc8346","\\pc8346\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7597","\\pc7597\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc9055","\\pc9055\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7517","\\pc7517\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11163","\\pc11163\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc4868","\\pc4868\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc5731","\\pc5731\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7134","\\pc7134\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc11171","\\pc11171\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7580","\\pc7580\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc7131","\\pc7131\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Not Found"
"pc14373","\\pc14373\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc4558","\\pc4558\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc9009","\\pc9009\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc8727","\\pc8727\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc7595","\\pc7595\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc13097","\\pc13097\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc14531","\\pc14531\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc8725","\\pc8725\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc9085","\\pc9085\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc7132","\\pc7132\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Offline"
"pc9211","\\pc9211\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc13519","\\pc13519\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc7115","\\pc7115\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc5703","\\pc5703\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc5578","\\pc5578\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc9115","\\pc9115\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc10544","\\pc10544\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc7140","\\pc7140\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc7117","\\pc7117\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc9010","\\pc9010\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc5892","\\pc5892\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc9096","\\pc9096\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc5867","\\pc5867\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc10563","\\pc10563\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc8878","\\pc8878\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc10570","\\pc10570\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc7137","\\pc7137\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.2105.4017.0_x64__8wekyb3d8bbwe","Success"
"pc7586","\\pc7586\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc5876","\\pc5876\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc10613","\\pc10613\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Offline"
"pc10638","\\pc10638\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc7539","\\pc7539\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc5572","\\pc5572\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc6214","\\pc6214\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.2203.1037.0_x64__8wekyb3d8bbwe","Offline"
"pc6830","\\pc6830\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc10541","\\pc10541\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc10545","\\pc10545\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
"pc8703","\\pc8703\c$\Program Files\WindowsApps\Microsoft.MSPaint_6.1907.29027.0_x64__8wekyb3d8bbwe","Success"
